MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS,BOROUGH_ID
2019 / 11,Bronx,6,2098.4,128.1,178.7,11.7,40.3,,,2
2019 / 11,Brooklyn,17,4139.4,278.2,396.7,,,12,,3
2019 / 11,Bronx,8,2260.4,316.3,337.7,99.4,,13,,2
2019 / 11,Manhattan,6,2859.2,560.4,413,52.5,,,,1
2019 / 11,Manhattan,1,1396.7,426.4,260.9,21.2,,,,1
2019 / 11,Bronx,10,2384.4,271.7,385.1,128.6,,,,2
2019 / 11,Brooklyn,16,2013.6,98.3,152.5,31.2,,,,3
2019 / 11,Brooklyn,4,2997.9,261.4,351.7,,,,,3
2019 / 11,Queens,12,5998.8,404.2,743.1,,,266.9,,4
2019 / 11,Manhattan,4,2349.6,497.9,391,42.5,,,,1
2019 / 11,Queens,4,3961.7,298.4,394.8,,,6,,4
2019 / 11,Queens,6,2718.8,385.2,340.6,,,84.5,,4
2019 / 11,Manhattan,12,4661.7,398,462.2,36.9,29.5,,,1
2019 / 11,Bronx,11,2753.6,267.1,308.6,145.6,,,,2
2019 / 11,Queens,3,4719.3,331.9,438.8,,,11.3,,4
2019 / 11,Queens,14,2679.6,223,240.5,100.2,,,,4
2019 / 11,Bronx,2,1432,90.5,128.9,,,,,2
2019 / 11,Staten Island,2,3918,471.6,443.8,,39,167.7,,5
2019 / 11,Brooklyn,5,4322.3,225.7,353.6,,,6.1,,3
2019 / 11,Queens,2,2882.9,393.3,368.7,86.5,128.4,,,4
2019 / 11,Brooklyn,15,4408,524.9,444.7,99,,,,3
2019 / 11,Manhattan,9,2186.3,285,270.8,30.8,67.5,,,1
2019 / 11,Brooklyn,3,3943,347.6,327.7,,,,,3
2019 / 11,Queens,10,3577.7,331.4,441.9,88.5,,,,4
2019 / 11,Manhattan,10,2596.4,249.8,235.8,16.2,33.1,,,1
2019 / 11,Bronx,7,3460.4,246.6,413.1,,,1.9,,2
2019 / 11,Brooklyn,2,2528,509.1,394.8,101.2,41.9,,,3
2019 / 11,Manhattan,11,2263.8,196.5,181.6,,,,,1
2019 / 11,Manhattan,8,5271.4,1273.9,819.1,26.9,,,,1
2019 / 11,Queens,13,4853.4,417.2,718.4,342.6,,28.7,,4
2019 / 11,Staten Island,1,4607.8,544.1,579.3,321,,104.5,,5
2019 / 11,Bronx,1,1915.8,116.5,134,4.9,,,,2
2019 / 11,Bronx,12,3427.3,329.5,533.6,286.3,,,,2
2019 / 11,Bronx,3,1789.4,114.9,184.2,,,,,2
2019 / 11,Brooklyn,18,5132.6,497.6,541.5,,,80.9,,3
2019 / 11,Queens,5,4718.6,572,671.4,220.9,63.7,,,4
2019 / 11,Brooklyn,12,6115.9,607.2,394.2,101.1,102.9,,,3
2019 / 11,Manhattan,7,4784.6,1150.2,769.6,38.8,41.7,,,1
2019 / 11,Brooklyn,14,4529.2,450.8,373.2,,104.9,52.3,,3
2019 / 11,Queens,11,2759.6,422.5,380.8,356.4,77.8,57.7,,4
2019 / 11,Manhattan,3,2916.3,309.2,295.4,,48.2,,,1
2019 / 11,Staten Island,3,5287.5,665.9,629.2,,30.8,307,,5
2019 / 11,Queens,1,3921.5,572.6,587.3,,,22,,4
2019 / 11,Bronx,4,3821.9,225.2,354,16.1,,,,2
2019 / 11,Brooklyn,9,2942.1,267.6,240.6,,,3.8,,3
2019 / 11,Queens,9,3659.9,397.8,480.3,270.6,37.9,,,4
2019 / 11,Queens,8,3465.6,417.9,362.3,185.8,,27.4,,4
2019 / 11,Brooklyn,1,5376.1,610.5,424.5,57.1,,,,3
2019 / 11,Brooklyn,11,4792.9,535.7,479.9,61.7,,4.8,,3
2019 / 11,Brooklyn,6,2082.6,558.2,409.4,149.3,46.3,,,3
2019 / 11,Bronx,9,3557.8,195,309.1,,,2.1,,2
2019 / 11,Brooklyn,8,2645.7,270.4,247.2,,14.9,7.5,,3
2019 / 11,Queens,7,6173.1,749.6,667,322.6,,48,,4
2019 / 11,Brooklyn,13,1928.4,167.4,212.6,30.4,,,,3
2019 / 11,Manhattan,2,1925.9,457,314.1,,29.1,,,1
2019 / 11,Bronx,5,3276.5,196.8,312.6,,,1,,2
2019 / 11,Brooklyn,7,3096.8,385.1,375.4,83,98.8,,,3
2019 / 11,Brooklyn,10,3138,452,419.3,104,,,,3
2019 / 11,Manhattan,5,1323,290.4,180.4,,,,,1
2019 / 12,Queens,12,6798.7,552.4,933.7,,,153.9,,4
2019 / 12,Queens,3,4953,426.6,496.4,,,7.6,,4
2019 / 12,Brooklyn,18,5595.3,715.3,662.9,,,91.9,,3
2019 / 12,Brooklyn,5,4694.9,318,431.9,,,5.4,,3
2019 / 12,Manhattan,4,2359.9,537.4,391,42.9,,,,1
2019 / 12,Bronx,1,2030.1,164.9,176.5,3.4,,,,2
2019 / 12,Queens,6,2886.2,468.3,374,,61.7,62.5,,4
2019 / 12,Bronx,6,2218.4,152.4,191.7,9.1,31,,,2
2019 / 12,Brooklyn,13,2002,213.7,227.2,22.4,,,,3
2019 / 12,Brooklyn,1,5652,742.4,511.5,48.4,,,,3
2019 / 12,Manhattan,10,2712.6,291.2,260.2,17.9,28.1,,,1
2019 / 12,Manhattan,2,1885.9,525.5,340.4,,21.4,,,1
2019 / 12,Queens,11,2859.3,561.2,461.2,187.4,62.2,,,4
2019 / 12,Brooklyn,17,4595.5,371,494.8,,,27.9,,3
2019 / 12,Manhattan,1,1362.1,474.9,273.6,18.1,,,,1
2019 / 12,Bronx,11,2866.3,350.8,380.7,76.3,,12,,2
2019 / 12,Bronx,12,3682.7,423.2,610.3,174.4,,,,2
2019 / 12,Brooklyn,11,5000.6,707.1,569.9,44.7,,,,3
2019 / 12,Bronx,10,2406.8,366.7,457.4,85.5,,,,2
2019 / 12,Bronx,5,3355.7,244.5,341.3,,,1.7,,2
2019 / 12,Queens,7,6346.1,961.7,772.3,177.6,,3.7,,4
2019 / 12,Manhattan,9,2234,286,267.1,28.9,50.3,,,1
2019 / 12,Manhattan,11,2371.5,211.1,173.3,,,,,1
2019 / 12,Queens,14,2865.5,312.7,290.8,81,,,,4
2019 / 12,Bronx,9,3636.9,267.3,365.8,,,0.8,,2
2019 / 12,Brooklyn,14,4899.9,579.6,417.4,,64.8,48.7,,3
2019 / 12,Queens,2,2993.6,509.8,413.9,77.8,52.8,,,4
2019 / 12,Manhattan,8,5218.6,1335.7,844.1,19.6,,,,1
2019 / 12,Brooklyn,7,3194.3,476.8,415,79.6,102.9,,,3
2019 / 12,Queens,9,3854.8,535.6,550.9,193.2,28.7,,,4
2019 / 12,Brooklyn,10,3368.3,605.8,493,83.2,,,,3
2019 / 12,Bronx,4,3873,317.1,397.3,12.5,,,,2
2019 / 12,Brooklyn,3,4150.4,433.9,395.1,,,,,3
2019 / 12,Brooklyn,9,3118.5,296.9,253.3,,,5.4,,3
2019 / 12,Staten Island,2,4279.2,665.8,546,,33.2,125.2,,5
2019 / 12,Bronx,7,3573.7,336.6,482.6,,,0.6,,2
2019 / 12,Manhattan,6,2864.3,631.3,428.3,37.7,,,,1
2019 / 12,Staten Island,1,5329.7,748,741.3,182.4,,71.9,,5
2019 / 12,Queens,8,3656.9,529.7,409.4,157.2,,,,4
2019 / 12,Queens,4,4066.2,385.6,437.1,,,6.2,,4
2019 / 12,Brooklyn,4,3077.4,325.9,379.3,,,,,3
2019 / 12,Queens,13,5115.6,529.9,873.9,234.3,,,,4
2019 / 12,Queens,1,4111.7,725.5,667.8,,,27.2,,4
2019 / 12,Bronx,2,1503.1,132.7,160.4,,,,,2
2019 / 12,Queens,5,4870.1,775.8,758.6,143.6,53,,,4
2019 / 12,Manhattan,3,2903.3,320.7,286.2,,36.1,,,1
2019 / 12,Staten Island,3,5875.4,968.6,739.1,,23.8,255.9,,5
2019 / 12,Bronx,3,1937.3,136.7,192,,,,,2
2019 / 12,Brooklyn,16,2152.2,122.4,150.9,21.3,,,,3
2019 / 12,Brooklyn,2,2511.6,583.5,407,93.3,33.8,,,3
2019 / 12,Manhattan,5,1331.1,340.8,191.1,,,,,1
2019 / 12,Brooklyn,15,4561.4,676.6,505.4,61.8,,,,3
2019 / 12,Queens,10,3820.2,479.6,523.4,64.8,,,,4
2019 / 12,Brooklyn,6,2159.6,657.7,452.1,123.7,38.4,,,3
2019 / 12,Brooklyn,12,6254.3,738.6,450.2,80.3,84.2,,,3
2019 / 12,Manhattan,12,4914.2,515.9,524.4,31.7,25.7,,,1
2019 / 12,Bronx,8,2355.4,403.2,417.3,74.1,,16,,2
2019 / 12,Brooklyn,8,2782.1,359.9,304.6,,11.6,14.2,,3
2019 / 12,Manhattan,7,4854,1309,847,35.6,34.2,,,1
2020 / 01,Queens,2,2927,461.1,438.2,75,66.8,,22.8,4
2020 / 01,Brooklyn,16,2022.3,125.5,188,23.7,,9.2,3.8,3
2020 / 01,Brooklyn,2,2450.4,582.7,463.8,80.7,42.1,,52.5,3
2020 / 01,Staten Island,2,3946.9,586,534.8,,46.2,,26.7,5
2020 / 01,Queens,1,3935.7,662.1,696.1,,,,42,4
2020 / 01,Manhattan,3,2857,381.9,365.6,,53.9,,20,1
2020 / 01,Queens,3,4658.7,410.6,540.7,,,,29.5,4
2020 / 01,Brooklyn,18,5060.7,591.8,644.6,,,,13.8,3
2020 / 01,Brooklyn,7,3132.2,444.3,435.2,58.5,132.5,,28.2,3
2020 / 01,Bronx,11,2821.3,312.8,374.3,57.2,,,17.2,2
2020 / 01,Queens,7,6075.7,843.4,788.1,109.9,,,82.8,4
2020 / 01,Brooklyn,5,4358.6,288.2,459.3,,,,4.6,3
2020 / 01,Queens,11,2615.7,497.4,456.6,120.5,82.1,,35,4
2020 / 01,Queens,4,3990.8,383.7,487.1,,,,15.2,4
2020 / 01,Manhattan,5,1285.2,298.7,201,,,,22.4,1
2020 / 01,Bronx,4,3877.7,236.8,388,14.6,,,6.2,2
2020 / 01,Brooklyn,6,2081.9,611.8,473.8,115.5,52.1,,70.6,3
2020 / 01,Bronx,9,3664.2,237,365.6,,,,14.7,2
2020 / 01,Brooklyn,8,2583.3,306.6,303.5,,15.7,,21.5,3
2020 / 01,Manhattan,11,2237.3,264.8,237.3,,,,12.5,1
2020 / 01,Brooklyn,12,6084.9,693.1,454.2,40.6,107.2,,7.3,3
2020 / 01,Manhattan,8,5085,1263.7,914.2,24,,,162,1
2020 / 01,Queens,10,3409.9,386.4,506.1,56.1,,,59,4
2020 / 01,Manhattan,2,1856.3,484.6,352.2,,27.1,,46,1
2020 / 01,Manhattan,1,1347.5,444.1,283,19.5,,,40.7,1
2020 / 01,Manhattan,6,2788.6,619.2,487,38.4,,,41,1
2020 / 01,Brooklyn,1,5299.1,714.1,545,53.3,,,44.5,3
2020 / 01,Brooklyn,4,2947.4,297,403.6,,,,14.5,3
2020 / 01,Queens,6,2749.6,459.8,414.8,,80.3,,6.4,4
2020 / 01,Manhattan,4,2303.8,541.2,460.7,35.6,,,29.7,1
2020 / 01,Bronx,6,2176.8,172.6,236.4,11.8,43.6,,18.4,2
2020 / 01,Brooklyn,9,2879.2,307.5,285.8,,,,13.8,3
2020 / 01,Bronx,10,2348.2,339.8,427.6,48.9,,,14,2
2020 / 01,Queens,5,4562.5,691.3,779.1,109.9,68.6,,72.3,4
2020 / 01,Staten Island,3,5351.9,856.2,761.6,,34.4,,42.6,5
2020 / 01,Queens,8,3374.4,468.9,411.6,104.5,,,38.4,4
2020 / 01,Queens,9,3634.3,463.6,552.2,164.1,40,,36,4
2020 / 01,Bronx,2,1484.8,125.2,183.9,,,,4.5,2
2020 / 01,Bronx,7,3568.5,308.9,512.6,,,,15.6,2
2020 / 01,Brooklyn,13,1931.7,194.2,251.9,19.4,,,4.8,3
2020 / 01,Brooklyn,11,4881.9,647.8,589.8,42,,,20.9,3
2020 / 01,Queens,12,6084.4,483.9,875.9,,,,13.5,4
2020 / 01,Manhattan,9,2116.1,286.4,306.2,35.7,63.1,,20.5,1
2020 / 01,Bronx,12,3496.6,389,618.1,135,,,8.4,2
2020 / 01,Queens,14,2703.6,267,279.4,58.9,,,27,4
2020 / 01,Staten Island,1,4751,650.1,713.9,83.6,,,35.7,5
2020 / 01,Manhattan,7,4683.6,1140.8,859.9,42.7,49.8,,81,1
2020 / 01,Brooklyn,14,4583.6,488.9,410.3,,82.2,,10.8,3
2020 / 01,Queens,13,4520.2,448.6,857.4,172.6,,,30,4
2020 / 01,Bronx,1,1973.9,118.8,142,5.8,,,23.8,2
2020 / 01,Bronx,3,1927.2,165.4,236.9,,,,2.1,2
2020 / 01,Manhattan,10,2608.2,315.7,317.2,18.4,32.7,,25.2,1
2020 / 01,Brooklyn,10,3221.2,528.5,502.9,67.9,,,38,3
2020 / 01,Manhattan,12,4654.9,506.7,612.3,30,43.5,,32,1
2020 / 01,Bronx,5,3304.4,202.3,332.1,,,,3.8,2
2020 / 01,Brooklyn,17,4047.7,318.6,472.3,,,,7.1,3
2020 / 01,Bronx,8,2250,346.8,406,60.4,,,21.6,2
2020 / 01,Brooklyn,3,3885.9,425.4,415.9,,,8.3,20.9,3
2020 / 01,Brooklyn,15,4310.6,606.8,519.6,56.5,,,7.5,3
2020 / 02,Brooklyn,14,4062.5,429.5,360.5,,58.4,,,3
2020 / 02,Bronx,4,3589.5,212.3,335.3,11.6,,,,2
2020 / 02,Brooklyn,5,3871.4,212,343.6,,,,,3
2020 / 02,Brooklyn,2,2255,479.1,382.4,62,27.6,,,3
2020 / 02,Queens,14,2367,212.7,234,49.8,,,,4
2020 / 02,Brooklyn,16,1796.4,94.7,146.8,18,,,,3
2020 / 02,Manhattan,7,4253.6,1017.3,758.6,36.2,37.1,,,1
2020 / 02,Bronx,12,3081.5,302.5,502.5,104.3,,,,2
2020 / 02,Staten Island,3,4510.2,632,579.9,,25,,,5
2020 / 02,Manhattan,2,1717.3,412.4,310,,22.9,,,1
2020 / 02,Bronx,2,1346.8,92.5,138.4,,,,,2
2020 / 02,Brooklyn,10,2818.5,418,408.6,51.5,,14.5,,3
2020 / 02,Brooklyn,1,5065.6,605.8,451.6,44.9,,11.5,,3
2020 / 02,Staten Island,1,4212.7,515.5,572.9,48.9,,,,5
2020 / 02,Bronx,5,3081.1,178.2,293.7,,,,,2
2020 / 02,Bronx,11,2523.2,238.7,326,45.6,,,,2
2020 / 02,Brooklyn,17,3646.5,258.6,382.4,,,,,3
2020 / 02,Brooklyn,15,3924.1,508.9,443.7,51.6,,,,3
2020 / 02,Brooklyn,3,3452.5,330.8,325.7,,,,,3
2020 / 02,Bronx,6,1972.7,123.2,180.8,9,31.5,,,2
2020 / 02,Queens,13,4030.4,346.9,719.6,127.2,,,,4
2020 / 02,Queens,4,3553.1,284.3,384.5,,,,,4
2020 / 02,Queens,3,4172.5,315.1,435.8,,,,,4
2020 / 02,Queens,1,3473.8,540.3,576.3,,,,,4
2020 / 02,Brooklyn,7,2787,357.8,353.9,51.3,105.8,,,3
2020 / 02,Brooklyn,12,5717.2,603.1,395.3,35.4,79.5,,,3
2020 / 02,Queens,12,5414.7,377.1,742.7,,,,,4
2020 / 02,Queens,11,2242.2,391.5,373.3,98.6,61.6,,,4
2020 / 02,Bronx,10,2084.6,256.1,370.2,37,,,,2
2020 / 02,Brooklyn,11,4367.3,519.8,483.9,37.7,,9.8,,3
2020 / 02,Brooklyn,18,4388.2,461.7,525.5,,,,,3
2020 / 02,Queens,10,2999.8,297.5,435.2,55.1,,,,4
2020 / 02,Queens,5,4045.7,530.6,650.9,103.3,55.7,,,4
2020 / 02,Manhattan,9,1979.6,247.7,266.3,35.1,47.9,,,1
2020 / 02,Brooklyn,8,2306.3,259.5,248.2,,11.6,,,3
2020 / 02,Brooklyn,13,1727.2,154.2,194.9,17.4,,,,3
2020 / 02,Queens,8,3018.5,386.2,358.3,84.9,,,,4
2020 / 02,Bronx,3,1731.9,118.4,193.5,,,,,2
2020 / 02,Queens,6,2440.6,364.4,333.4,,59.7,,,4
2020 / 02,Bronx,1,1793.6,101.9,122.4,5.2,,,,2
2020 / 02,Manhattan,5,1194.2,257.8,171,,,,,1
2020 / 02,Queens,2,2625.6,370.6,361.8,59.6,53.1,,,4
2020 / 02,Bronx,9,3262.2,199.7,308.4,,,,,2
2020 / 02,Queens,9,3267.8,367.3,467.4,122.5,30.8,,,4
2020 / 02,Brooklyn,9,2630.2,250.3,221.8,,,,,3
2020 / 02,Staten Island,2,3418.3,459.3,428.3,,30.2,1.6,,5
2020 / 02,Manhattan,10,2316.6,229.9,245.6,16.5,25,,,1
2020 / 02,Manhattan,12,4166.3,398.2,468.2,25.4,37.1,,,1
2020 / 02,Manhattan,11,2063.2,192.2,181.5,,,,,1
2020 / 02,Manhattan,6,2628.2,526.2,408.4,33.7,,,,1
2020 / 02,Brooklyn,4,2665.1,236.5,349,,,,,3
2020 / 02,Manhattan,1,1285.2,385.4,252.1,17.3,,,,1
2020 / 02,Manhattan,3,2707.7,308.8,301.4,,41.7,,,1
2020 / 02,Manhattan,4,2153,472.3,382.8,32.1,,,,1
2020 / 02,Manhattan,8,4690.8,1084.8,812.3,20.6,,,,1
2020 / 02,Bronx,7,3240.4,250.2,420.8,,,,,2
2020 / 02,Queens,7,5371.4,694.6,661.4,91.2,,,,4
2020 / 02,Brooklyn,6,1812,491.7,390.4,95.5,40.9,,,3
2020 / 02,Bronx,8,1999.5,286.4,329.9,42.5,,,,2
2020 / 03,Queens,4,3948.8,315.7,428,,,,,4
2020 / 03,Brooklyn,3,3943.5,392.5,408.3,,,,,3
2020 / 03,Queens,11,2685.3,459.8,468.4,137.6,38.7,,,4
2020 / 03,Brooklyn,7,3052.6,421.9,425.8,57.1,68.5,,,3
2020 / 03,Bronx,5,3391.8,206.3,335.9,,,,,2
2020 / 03,Brooklyn,16,2027,93.8,151.8,18.2,,,,3
2020 / 03,Brooklyn,8,2539.6,317.9,322.1,,11.2,,,3
2020 / 03,Bronx,8,2197.2,322.3,399.1,56.7,,,,2
2020 / 03,Bronx,10,2277.1,291.5,412.8,59.1,,,,2
2020 / 03,Brooklyn,11,4793.8,591.6,550.8,42.7,,9.2,,3
2020 / 03,Brooklyn,13,1915.1,190.5,227.6,18,,,,3
2020 / 03,Bronx,12,3480,351.9,562.9,115.4,,,,2
2020 / 03,Queens,5,4562.3,594.1,762.2,115.5,40.8,,,4
2020 / 03,Manhattan,12,4534.5,421.5,502.1,36.4,26.7,,,1
2020 / 03,Bronx,11,2806.9,274.8,359.2,65.1,,,,2
2020 / 03,Manhattan,1,1311.2,377.9,251.6,20.2,,,,1
2020 / 03,Brooklyn,10,3143.7,494.2,493.8,66.2,,,,3
2020 / 03,Brooklyn,18,4845.4,526.4,609.2,,,,,3
2020 / 03,Brooklyn,6,1999.5,555.9,453.8,115.2,27.7,,,3
2020 / 03,Brooklyn,15,4318.7,587.3,535.1,49,,,,3
2020 / 03,Manhattan,8,4735.4,1128.5,824.2,16.7,,,,1
2020 / 03,Staten Island,2,4014.9,545.9,534.3,,20.4,,,5
2020 / 03,Manhattan,4,2278.7,461.3,394.3,37.3,,,,1
2020 / 03,Bronx,7,3584.9,282.7,456.5,,,,,2
2020 / 03,Queens,14,2763.7,248.9,266.3,69.5,,,,4
2020 / 03,Brooklyn,2,2372.5,514.1,440,79.7,19.8,,,3
2020 / 03,Bronx,3,1955.4,139.8,219,,,,,2
2020 / 03,Manhattan,7,4382.9,1067.6,804.7,42.6,24.9,,,1
2020 / 03,Brooklyn,12,6505.4,698.4,477.3,40,63.8,,,3
2020 / 03,Queens,6,2749.2,398.6,392.8,,41.8,,,4
2020 / 03,Queens,13,4606.7,414.2,816.5,160.2,,,,4
2020 / 03,Manhattan,10,2487.5,269.5,273.6,17.8,20.3,,,1
2020 / 03,Brooklyn,9,2795.8,264.9,236.5,,,,,3
2020 / 03,Brooklyn,4,2972.4,279.9,400.7,,,,,3
2020 / 03,Queens,9,3613.2,423.5,556.6,158.2,21.6,,,4
2020 / 03,Bronx,2,1480,94.9,142.8,,,,,2
2020 / 03,Manhattan,9,2133.6,242.2,264.4,40.8,36.3,,,1
2020 / 03,Brooklyn,17,3965.2,274.7,427.9,,,,,3
2020 / 03,Queens,8,3454.1,422.7,417.6,102.9,,,,4
2020 / 03,Queens,1,3937.1,638,700.2,,,,,4
2020 / 03,Manhattan,5,1222.5,287.5,194.8,,,,,1
2020 / 03,Queens,12,5999.5,417.8,829.1,,,,,4
2020 / 03,Manhattan,3,2699.6,305.2,313.6,,28.3,,,1
2020 / 03,Queens,2,2931.5,435.3,445.1,76.6,36,,,4
2020 / 03,Manhattan,11,2157,204.8,195.6,3.8,,,,1
2020 / 03,Bronx,6,2216.1,156.9,220.7,9.5,18.2,,,2
2020 / 03,Queens,10,3461.1,351,515.8,54.6,,,,4
2020 / 03,Staten Island,3,5463.3,743.4,707.2,,18.4,,,5
2020 / 03,Queens,3,4577.8,324.9,483.8,,,,,4
2020 / 03,Brooklyn,1,5676.2,680.3,543.8,51.7,,,,3
2020 / 03,Bronx,1,1971,130.1,160.7,4.7,,,,2
2020 / 03,Staten Island,1,4932.1,584.8,688.3,110.5,,,,5
2020 / 03,Brooklyn,14,4669.4,511,442.1,,43.3,,,3
2020 / 03,Bronx,4,3893.3,264.4,404.7,11.7,,,,2
2020 / 03,Brooklyn,5,4355.6,240.4,407.4,,,,,3
2020 / 03,Manhattan,2,1722.4,455.9,339.9,,17.1,,,1
2020 / 03,Manhattan,6,2708.7,524,414.5,45.3,,,,1
2020 / 03,Bronx,9,3569.3,216.1,337.3,,,,,2
2020 / 03,Queens,7,6163.7,788,785.1,104.6,,,,4
2020 / 04,Queens,1,3888.5,607.4,768.9,,,,,4
2020 / 04,Brooklyn,6,1865,500.2,479.3,105.5,,,,3
2020 / 04,Manhattan,8,3609.6,856.8,790.8,10.8,,,,1
2020 / 04,Manhattan,2,1259.9,316.3,308.2,,,,,1
2020 / 04,Brooklyn,2,2007.9,450.1,466,81.2,,,,3
2020 / 04,Queens,3,4465.5,335.6,567.5,,,,,4
2020 / 04,Bronx,2,1480.8,102,170.9,,,,,2
2020 / 04,Brooklyn,8,2396.8,286.2,324.9,,,,,3
2020 / 04,Manhattan,5,900.2,198.8,176.8,,,,,1
2020 / 04,Queens,6,2609.8,390.7,452.9,,,,,4
2020 / 04,Manhattan,1,924,266.3,241.2,13.9,,,,1
2020 / 04,Queens,8,3384.3,430.1,468.7,71.7,,,,4
2020 / 04,Queens,12,6478.1,444.2,958.4,,,,,4
2020 / 04,Manhattan,10,2325.6,259.2,300.4,15.3,,,,1
2020 / 04,Bronx,5,3355.3,189.1,326.6,,,,,2
2020 / 04,Bronx,11,2906.4,278,420.6,66,,,,2
2020 / 04,Staten Island,3,6130.2,812.2,905.4,,,,,5
2020 / 04,Bronx,1,1923.2,105.3,139.6,3.4,,,,2
2020 / 04,Manhattan,11,1896.8,203.5,221.1,,,,,1
2020 / 04,Manhattan,7,3494.5,819.9,775.9,30.9,,,,1
2020 / 04,Brooklyn,16,1997,107.7,186.9,21.1,,,,3
2020 / 04,Bronx,7,3550.1,281.2,499.9,,,,,2
2020 / 04,Brooklyn,4,2908.5,282.3,443.4,,,,,3
2020 / 04,Queens,13,4935.8,428.6,922.2,196.5,,,,4
2020 / 04,Staten Island,1,5302.3,627,867.2,169.1,,,,5
2020 / 04,Brooklyn,11,4554.4,559.8,584.7,37.8,,,,3
2020 / 04,Queens,2,2702.2,393,482.4,77.3,,,,4
2020 / 04,Bronx,6,2197.1,153.9,239.8,9.6,,,,2
2020 / 04,Queens,11,2874.2,468.8,539.9,126.8,,,,4
2020 / 04,Brooklyn,14,4536.1,449.1,451.7,,,,,3
2020 / 04,Bronx,3,1931.7,140.6,235.7,,,,,2
2020 / 04,Queens,7,6075.1,782.4,861.1,113.2,,,,4
2020 / 04,Brooklyn,3,3798.2,398.5,449.9,,,,,3
2020 / 04,Queens,14,2843.8,248.7,313.4,71.3,,,,4
2020 / 04,Manhattan,3,2252.6,266.1,337,,,,,1
2020 / 04,Brooklyn,7,2925,390.7,435.7,55.8,,,,3
2020 / 04,Brooklyn,1,4930.4,701.2,633.5,57.2,,,,3
2020 / 04,Staten Island,2,4378.4,560.4,657.5,,,,,5
2020 / 04,Brooklyn,13,1852.9,160,234,19.8,,,,3
2020 / 04,Manhattan,9,1878.8,221.2,292.4,31.5,,,,1
2020 / 04,Brooklyn,10,3079,480.5,534.7,56.1,,,,3
2020 / 04,Queens,4,3709.4,303.8,473.1,,,,,4
2020 / 04,Brooklyn,9,2777.8,284.9,276.5,,,,,3
2020 / 04,Bronx,12,3577.3,357.6,616.3,141.7,,,,2
2020 / 04,Bronx,4,3837.1,218.4,383.4,8.6,,,,2
2020 / 04,Queens,10,3617.3,346.3,586.7,57.6,,,,4
2020 / 04,Manhattan,12,4258.4,440.4,590.3,29.9,,,,1
2020 / 04,Bronx,9,3568.1,214.5,376.6,,,,,2
2020 / 04,Manhattan,4,1845.2,402.7,427.6,27.7,,,,1
2020 / 04,Bronx,8,2177.5,326.8,419.6,63.4,,,,2
2020 / 04,Brooklyn,17,4078.9,284.3,459,,,,,3
2020 / 04,Brooklyn,12,6179.6,723.8,508.4,33.2,,,,3
2020 / 04,Bronx,10,2542.8,284.4,485,78,,,,2
2020 / 04,Brooklyn,5,4405.4,253.4,463.6,,,,,3
2020 / 04,Brooklyn,15,4468.6,543.4,589.2,44.8,,,,3
2020 / 04,Manhattan,6,2068.8,435.9,435.3,40.2,,,,1
2020 / 04,Queens,5,4698.1,586.6,940.5,121.6,,,,4
2020 / 04,Queens,9,3676.6,391.8,621,153.9,,,,4
2020 / 04,Brooklyn,18,5367.7,549.5,690.3,,,,,3
2020 / 05,Bronx,1,2225.8,150.9,159.2,0.4,,,,2
2020 / 05,Queens,13,6563.7,474,1065.8,19.3,,,,4
2020 / 05,Manhattan,3,2674.8,292,346.9,,,,,1
2020 / 05,Staten Island,1,6495.4,651.4,925.8,12.3,,,,5
2020 / 05,Manhattan,11,2158.3,218.7,219.7,,,,,1
2020 / 05,Brooklyn,7,3395.3,415.9,440,1.3,,,,3
2020 / 05,Brooklyn,10,3591.3,489.8,532.6,4.4,,,,3
2020 / 05,Queens,5,5577.8,601.6,1009,8.4,,,,4
2020 / 05,Queens,14,3537.2,285.6,370.7,8.4,,,,4
2020 / 05,Manhattan,6,2345.4,454.8,442.6,3.6,,,,1
2020 / 05,Queens,6,2924.6,412.3,442.4,,,,,4
2020 / 05,Queens,4,4287.1,356.5,536.6,,,,,4
2020 / 05,Brooklyn,16,2325.3,142.4,220.4,4.1,,,,3
2020 / 05,Brooklyn,11,5251.3,607.5,614.6,3.1,,,,3
2020 / 05,Queens,9,4571.6,436,679.9,11.4,,,,4
2020 / 05,Bronx,2,1689.7,143.6,194.6,,,,,2
2020 / 05,Manhattan,7,3921.4,850,752.6,1.6,,,,1
2020 / 05,Bronx,8,2477.3,341.8,420.7,6,,,,2
2020 / 05,Brooklyn,15,4743,555.2,573.7,2.6,,,,3
2020 / 05,Bronx,11,3495.3,315.2,472.7,9,,,,2
2020 / 05,Manhattan,1,1089.3,284.8,245,0.6,,,,1
2020 / 05,Staten Island,2,5189,571.5,702.7,,,,,5
2020 / 05,Bronx,5,3886.9,278.9,402.6,,,,,2
2020 / 05,Queens,12,7951,540.6,1050,,,,,4
2020 / 05,Brooklyn,9,3016.8,320.3,303.3,,,,,3
2020 / 05,Brooklyn,12,6182.3,760.3,450.2,2.7,,,,3
2020 / 05,Manhattan,10,2615.5,281.1,298.2,0.8,,,,1
2020 / 05,Manhattan,4,2061,420.9,438.2,1.5,,,,1
